'3DRendering', '3-D / Rendering Options'
'kmlExportCheckpointMode', 'KML Export Checkpoint Mode'
'kmlExportGroundClamp', 'Ignore Elevation Data'
'label_text_size', 'Default Label Size'
'landscape_extended_buttons', 'Force Extra Icons in Landscape'
'largeActionBar', 'Enable Large Tool Bar'
'largeTextMode', 'Enable Large Text Mode'
'layerOutlinesPreference', 'Imagery Layer Outline Preferences'
'legacyFiresToolbarMode', 'Legacy SPI Toolbar Mode'
'legacyPointDropNaming', 'Legacy Point Drop Naming Convention'
'legacy_preferences_category', 'Legacy Preferences'
'legacyPrefs', 'Legacy Preferences'
'listenPort', 'Network GPS Port'
'locationCallsign', 'My Callsign'
'location_marker_scale_key', 'Marker Size'
'locationReportingStrategy', 'Reporting Strategy'
'locationTeam', 'My Team'
'locationUnitTypeAction', 'My Display Type'
'locationUseWRCallsign', 'Use Wave Relay Callsign'
'lockBehavior', 'Lock Behavior'
'loggingDisclaimer', 'Logging Impact on Performance'
'loggingfile', 'Enable Logcat File'
'loggingfile_error_only', 'Enable Logcat Errors only'
'loggingfile_upload_debug', 'Upload Debug Logs'
'loggingPrefs', 'Logging Preferences'
'lognettraffictofile', 'Log Network Traffic'
'lrfSettings', 'Laser Range Finder Preferences'
'manageInputsLink', 'Manage Inputs'
'manageOutputsLink', 'Manage Outputs'
'manageStreamingLink', 'Manage Server Connections'
'map_center_designator', 'Designate the Map Center'
'map_eyealt_visible', 'Enable Zoom Eye Altitude Controls'
'map_scale_rounding', 'Enable Map Scale Rounding'
'map_scale_visible', 'Enable Map Scale Display'
'map_zoom_visible', 'Enable Zoom Controls'
'mediaLayerCacheForceRescan', 'Force Reset Layer Cache'
'mediaPreference', 'Media Preferences'
'media_preferences_category', 'Media Preferences'
'mockingOption', 'GPS Option'
'monitorServerConnections', 'Monitor Server Connections'
'multicastTTL', 'Multicast TTL'
'my_actionbar_settings', 'Tool Bar Customization'
'my_location_icon_color', 'My Location Color / Size'
'nav_orientation_right', 'Toolbar Side'
'network_config', 'Internal Network Configuration'
'network_dhcp', 'DHCP'
'networkGpsCategory', 'GPS Preferences'
'network_logging_preferences_category', 'Network Logging Preferences'
'network_multicast_loopback', 'Multicast Traffic Loopback'
'network_preferences_category', 'Network Preferences'
'networkPrefs', 'Network Preferences'
'network_quic_enabled', 'QUIC Protocol'
'networkSettings', 'Network Connection Preferences'
'network_static_dns1', 'DNS 1'
'network_static_dns2', 'DNS 2'
'network_static_gateway', 'Default gateway'
'network_static_ip_address', 'IP address'
'network_static_subnet_mask', 'Subnet mask'
'network_tweaks_category', 'Network tweaks'
'notification_preferences_category', 'Notification Preferences'
'offscreen_indicator_dist_threshold', 'Set Distance Threshold (KM)'
'offscreen_indicators_preferences_category', 'Off-Screen Indicators Preferences'
'offscreen_indicator_timeout_threshold', 'Set Timeout Threshold (seconds) or zero to disable'
'onlyStreamingWithVPN', 'Enable Streaming Server on VPN Only'
'other_category', 'Other'
'other_general_control_preferences_category', 'Other General Control Preferences'
'other_miscellaneous_display_options', 'Other Miscellaneous Display Options'
'overlay_manager_width_height', 'Overlay Manager Width/Height'
'overlayStylePreference', 'Import Style Default Preferences'
'override_permission_request', 'Override Permission Request'
'point_dropping_behavior_category', 'Point Dropping Behavior'
'pointDroppingBehavior', 'Point Dropping Behavior'
'ppp0_highspeed_capable', 'Point-to-Point Link High Speed Capable'
'preferAltNumber', 'Prefer Alternative Number'
'preferences_category', 'Preferences'
'pref_grid_color', 'Grid Line Color'
'pref_grid_type', 'Grid Line Display Type'
'pref_layer_outline_color', 'Layer Outline Color'
'prefManage', 'Preference Management'
'pref_overlay_style_outline_color', 'Imported Shape Outline Color'
'prefs_dted_download', 'Elevation Downloader'
'prefs_dted_stream_server', 'Elevation Server'
'prefs_dted_stream', 'Stream Elevation Data'
'prefs_enable_smart_cache', 'Enable Smart Cache'
'prefs_grid_default_show', 'Show by Default'
'prefs_layer_grg_map_interaction', 'Enable Image Overlay Map Interaction'
'prefs_layer_outlines_default_show', 'Show by Default'
'prefs_smart_cache_download_limit', 'Smart Cache Download Limit'
'prefs_use_klv_elevation', 'Prefer KLV Frame Center Elevation'
'prompt_photo_rename', 'Prompt Name When Taking Photos'
'publishCategory', 'Reporting Preferences'
'pull_elevation_mode', 'Pull Elevation Mode'
'quickpic.camera_chooser', 'Camera Application'
'quick_pic_preferences', 'Quick Pic Preferences'
'rab_brg_units_pref', 'Bearing Units'
'rab_color_pref', 'Default Range and Bearing Color'
'rab_dist_slant_range', 'Range and Bearing Line Distance Format'
'rab_north_ref_pref', 'North Reference'
'rab_preference_show_eta', 'Display ETA on Range and Bearing Labels'
'rab_rng_units_pref', 'Range Units'
'rapid_mgrs_dialog', 'Rapid MGRS Entry Mode'
'realtime_metrics', 'Live Metrics'
'redeploywms', 'Redeploy WMS Sources'
'relativeOverlaysScalingRadioList', 'Icon and Text Size'
'reportingPrefs', 'Reporting Preferences'
'repoStartupSync', 'Auto Sync'
'resetHints', 'Reset Hints'
'restoreRecordedLocation', 'Restore my location on restart'
'rng_feet_display_pref', 'Feet to Miles'
'rng_meters_display_pref', 'Meters to Kilometers'
'route_billboard_distance_m', 'Billboard Render Distance'
'route_billboard_enabled', 'Show Attachment Billboards'
'route_preferences_category', 'Route Preferences'
'route_track_up_locked_on', 'Traditional Navigation Mode'
'route_vibrate_at_checkpoint', 'Vibrate When Arriving at Checkpoint'
'saAlternativeNumber', 'Alternative Phone Number'
'saEmailAddress', 'Publish Preferred Email'
'saHasPhoneNumber', 'Publish Phone Number'
'saSipAddressAssignment', 'Publish VoIP Number'
'saSipAddress', 'VoIP Number'
'saURN', 'Unit Reference Number'
'saXmppUsername', 'Publish XMPP Username'
'scrollToSelfOnStart', 'Scroll to Self Marker Location on Start'
'secureDeleteTimeout', 'Secure Delete Timeout'
'selected_actionbar_background_color', 'Toolbar Background Color'
'self_coord_action', 'Tap Coordinate Action'
'selfCoordinate', 'Additional Self Coordinate Controls'
'self_coordinate_category', 'Self Coordinate'
'self_coord_info_display', 'Self Coordinate Information'
'selfcoord_legacy_enlarge', 'Enable enlarging the coordinate display'
'server_connections_category', 'Server Connections'
'serverConnections', 'Server Connections'
'set_domain_pref', 'Set Domain Preference'
'settingsDebugging', 'Device Information'
'settingsPref', 'Network Preferences'
'showIP', 'My Primary IP Address: 192.168.50.25'
'sidepane_handle_shade', 'SidePane Handle Shade'
'size_category', 'Size'
'smart_cache_preference_category', 'Smart Cache Preferences'
'specific_tool_preferences_category', 'Specific Tool Preferences'
'speed_unit_pref', 'Speed Units'
'spiFahSize', 'DP/RedX FAH Width'
'spiUpdateDelay', 'DP Update Period'
'stale_data_preferences', 'Stale Data Preferences'
'staleData', 'Stale Data Preferences'
'staleRemoteDisconnects', 'Stale out remote users as they disconnect from TAK Server'
'support_category', 'Support'
'swimming_category', 'Swimming'
'tadiljPersistedIds', 'Manage Persisted IDs'
'tadilj_settings_category', 'Datalink Preferences'
'tadiljSettings', 'Datalink Preferences'
'takInitDeviceConfig', 'TAK Initial Device Configurations'
'tak_package_mgmt_preferences_category', 'TAK Package Mgmt Preferences'
'takSupportInfo', 'TAK Support Information'
'tcpConnectTimeout', 'TCP Connection Timeout'
'team_color_gps_icon', 'Team Color'
'tilt_rotation_menu_auto_close', 'Tilt/Rotation menu auto closes'
'toggle_offscreen_indicators', 'Enabled on Start'
'toolPrefs', 'Tool Preferences'
'toolsPref', 'Tool Preferences'
'udpNoDataTimeout', 'Multicast Network Rejoin interval'
'unitPreferences', 'Unit Display Format Preferences'
'units_category', 'Units'
'unit_threshold_category', 'Unit Threshold'
'updateServerCaLocation', 'Update Server SSL/TLS TrustStore Location'
'updateServerCaPassword', 'Update Server SSL/TLS TrustStore Password'
'usability_settings_category', 'Usability Settings'
'usableSettings', 'Usability Settings'
'useGPSTime', 'Use GPS Time'
'userFeedback', 'User Feedback'
'useRouteVoiceCues', 'Navigational Voice Cues'
'userRemarks', 'Remarks'
'user_touch_preferences_category', 'User Touch Preferences'
'userTouch', 'User Touch Preferences'
'useTerrainElevationSelfMarker', 'Use Elevation Data instead of GPS Elevation'
'vibratePhone', 'Vibrate phone'
'visual_preferences_category', 'Visual Preferences'
'volumemapswitcher', 'Enable Volume Keys rotating map layers'
'walking_category', 'Walking'
'watercraft_category', 'Watercraft'
'waveRelayRedirect', 'Legacy Wave Relay Redirect'
'waypointBubble.Driving', 'Driving Checkpoint Navigation Bubble Radius'
'waypointBubble.Flying', 'Flying Checkpoint Navigation Bubble Radius'
'waypointBubble.Swimming', 'Swimming Checkpoint Navigation Bubble Radius'
'waypointBubble.Walking', 'Walking Checkpoint Navigation Bubble Radius'
'waypointBubble.Watercraft', 'Watercraft Checkpoint Navigation Bubble Radius'
'waypointOffRouteBubble.Driving', 'Driving Off Route Bubble Radius'
'waypointOffRouteBubble.Flying', 'Flying Off Route Bubble Radius'
'waypointOffRouteBubble.Swimming', 'Swimming Off Route Bubble Radius'
'waypointOffRouteBubble.Walking', 'Walking Off Route Bubble Radius'
'waypointOffRouteBubble.Watercraft', 'Watercraft Off Route Bubble Radius'
'waypointPrefix', 'Checkpoint Name Prefix'
'wmsconnecttimeout', 'WMS Connect Timeout'
'wms_preferences_category', 'WMS Preferences'
